ID,State,State Abbreviation,Region,Year,Gender,EducationLevelofMother,EducationLevel,NumberOfBirths,AverageAgeOfMother ,AverageBirthWeight ,LowBirthWeight
1158,Georgia,GA,Southeast,2020,F,Bachelor's degree,6,12654,31.4,3216.1,No
1159,Georgia,GA,Southeast,2020,F,Master's degree,7,4356,32.8,3214.3,No
1160,Georgia,GA,Southeast,2020,F,Doctorate,8,1021,34.2,3214.4,No
1161,Georgia,GA,Southeast,2020,F,Not Stated,9,200,30,2938.7,Yes
1162,Georgia,GA,Southeast,2020,M,8th grade or less,1,1940,29.1,3267.9,No
1163,Georgia,GA,Southeast,2020,M,9th through 12th grade,2,5567,24.8,3174.5,No
1164,Georgia,GA,Southeast,2020,M,High school graduate,3,20283,26.5,3192.3,No
1165,Georgia,GA,Southeast,2020,M,Some college credit,4,10835,28,3257.8,No
1166,Georgia,GA,Southeast,2020,M,Associate degree,5,4818,29.8,3270.4,No
1167,Georgia,GA,Southeast,2020,M,Bachelor's degree,6,13538,31.4,3319.5,No
1168,Georgia,GA,Southeast,2020,M,Master's degree,7,4374,32.7,3358.2,No
1169,Georgia,GA,Southeast,2020,M,Doctorate,8,1092,33.9,3326,No
1170,Georgia,GA,Southeast,2020,M,Not Stated,9,213,28.7,3088.6,Yes
1171,Georgia,GA,Southeast,2021,F,8th grade or less,1,1781,29,3166.8,No
1172,Georgia,GA,Southeast,2021,F,9th through 12th grade,2,4973,25,3048.6,Yes
1173,Georgia,GA,Southeast,2021,F,High school graduate,3,19743,26.7,3072,Yes
1174,Georgia,GA,Southeast,2021,F,Some college credit,4,9734,28.2,3134.9,No
1175,Georgia,GA,Southeast,2021,F,Associate degree,5,4923,30,3137,No
1176,Georgia,GA,Southeast,2021,F,Bachelor's degree,6,13581,31.5,3187,No
1177,Georgia,GA,Southeast,2021,F,Master's degree,7,4633,32.9,3199.6,No
1178,Georgia,GA,Southeast,2021,F,Doctorate,8,1202,34.2,3184.8,No
1179,Georgia,GA,Southeast,2021,F,Not Stated,9,180,28.9,2995.9,Yes
1180,Georgia,GA,Southeast,2021,M,8th grade or less,1,1881,29,3240.9,No
1181,Georgia,GA,Southeast,2021,M,9th through 12th grade,2,5201,24.8,3130.5,No
1182,Georgia,GA,Southeast,2021,M,High school graduate,3,20573,26.7,3188.6,No
1183,Georgia,GA,Southeast,2021,M,Some college credit,4,10352,28.2,3228.5,No
1184,Georgia,GA,Southeast,2021,M,Associate degree,5,4975,29.9,3265.3,No
1185,Georgia,GA,Southeast,2021,M,Bachelor's degree,6,13870,31.5,3318.4,No
1186,Georgia,GA,Southeast,2021,M,Master's degree,7,5042,32.8,3316.4,No
1187,Georgia,GA,Southeast,2021,M,Doctorate,8,1281,34,3319.6,No
1188,Georgia,GA,Southeast,2021,M,Not Stated,9,148,28.7,3113.8,No
1189,Hawaii,HI,West,2016,F,8th grade or less,1,81,28,3171.9,No
1190,Hawaii,HI,West,2016,F,9th through 12th grade,2,1394,26.7,3113.9,No
1191,Hawaii,HI,West,2016,F,High school graduate,3,1657,26.4,3218.8,No
1192,Hawaii,HI,West,2016,F,Some college credit,4,1712,28.3,3206.3,No
1193,Hawaii,HI,West,2016,F,Associate degree,5,1027,29.9,3145.2,No
1194,Hawaii,HI,West,2016,F,Bachelor's degree,6,1862,31.9,3183.3,No
1195,Hawaii,HI,West,2016,F,Master's degree,7,673,34,3152.4,No
1196,Hawaii,HI,West,2016,F,Doctorate,8,112,34.8,3259.3,No
1197,Hawaii,HI,West,2016,F,Not Stated,9,46,29.3,3033.5,Yes
1198,Hawaii,HI,West,2016,M,8th grade or less,1,76,27.4,3174.4,No
1199,Hawaii,HI,West,2016,M,9th through 12th grade,2,1565,26.8,3201.7,No
1200,Hawaii,HI,West,2016,M,High school graduate,3,1800,26.5,3296.8,No
1201,Hawaii,HI,West,2016,M,Some college credit,4,1764,28.4,3316.1,No
1202,Hawaii,HI,West,2016,M,Associate degree,5,1271,30.3,3238.3,No
1203,Hawaii,HI,West,2016,M,Bachelor's degree,6,2033,31.7,3295.6,No
1204,Hawaii,HI,West,2016,M,Master's degree,7,825,34.1,3282.3,No
1205,Hawaii,HI,West,2016,M,Doctorate,8,104,34.2,3351.1,No
1206,Hawaii,HI,West,2016,M,Not Stated,9,57,29.8,3124,No
1207,Hawaii,HI,West,2017,F,8th grade or less,1,62,27.3,3058.8,Yes
1208,Hawaii,HI,West,2017,F,9th through 12th grade,2,1438,26.4,3119.2,No
1209,Hawaii,HI,West,2017,F,High school graduate,3,1465,26.7,3198.5,No
1210,Hawaii,HI,West,2017,F,Some college credit,4,1630,28.3,3203.9,No
1211,Hawaii,HI,West,2017,F,Associate degree,5,1051,30.4,3148,No
1212,Hawaii,HI,West,2017,F,Bachelor's degree,6,1823,32.3,3203.4,No
1213,Hawaii,HI,West,2017,F,Master's degree,7,730,33.8,3202.9,No
1214,Hawaii,HI,West,2017,F,Doctorate,8,126,34.5,3258.9,No
1215,Hawaii,HI,West,2017,F,Not Stated,9,54,28.8,2937.4,Yes
1216,Hawaii,HI,West,2017,M,8th grade or less,1,87,27.2,3248.5,No
1217,Hawaii,HI,West,2017,M,9th through 12th grade,2,1606,26.5,3175.5,No
1218,Hawaii,HI,West,2017,M,High school graduate,3,1659,26.8,3316.5,No
1219,Hawaii,HI,West,2017,M,Some college credit,4,1762,28.5,3306,No
1220,Hawaii,HI,West,2017,M,Associate degree,5,1123,30.1,3258.2,No
1221,Hawaii,HI,West,2017,M,Bachelor's degree,6,1977,32,3296.9,No
1222,Hawaii,HI,West,2017,M,Master's degree,7,741,33.8,3288.6,No
1223,Hawaii,HI,West,2017,M,Doctorate,8,123,34.7,3345.1,No
1224,Hawaii,HI,West,2017,M,Not Stated,9,60,29.1,3080.2,Yes
1225,Hawaii,HI,West,2018,F,8th grade or less,1,59,26.9,3249.2,No
1226,Hawaii,HI,West,2018,F,9th through 12th grade,2,1390,26.6,3113.2,No
1227,Hawaii,HI,West,2018,F,High school graduate,3,1411,26.8,3206.9,No
1228,Hawaii,HI,West,2018,F,Some college credit,4,1679,28.8,3175,No
1229,Hawaii,HI,West,2018,F,Associate degree,5,935,30.8,3161.8,No
1230,Hawaii,HI,West,2018,F,Bachelor's degree,6,1888,32,3211.6,No
1231,Hawaii,HI,West,2018,F,Master's degree,7,702,34.2,3225.9,No
1232,Hawaii,HI,West,2018,F,Doctorate,8,121,34.2,3214.4,No
1233,Hawaii,HI,West,2018,F,Not Stated,9,61,29.5,3081.8,Yes
1234,Hawaii,HI,West,2018,M,8th grade or less,1,78,29,3206.5,No
1235,Hawaii,HI,West,2018,M,9th through 12th grade,2,1468,26.8,3191.7,No
1236,Hawaii,HI,West,2018,M,High school graduate,3,1496,26.8,3315.1,No
1237,Hawaii,HI,West,2018,M,Some college credit,4,1754,28.7,3283.4,No
1238,Hawaii,HI,West,2018,M,Associate degree,5,1041,30.4,3247.8,No
1239,Hawaii,HI,West,2018,M,Bachelor's degree,6,2001,32.2,3283.5,No
1240,Hawaii,HI,West,2018,M,Master's degree,7,705,33.9,3277.8,No
1241,Hawaii,HI,West,2018,M,Doctorate,8,127,34.8,3280.9,No
1242,Hawaii,HI,West,2018,M,Not Stated,9,56,30.4,2916.6,Yes
1243,Hawaii,HI,West,2019,F,8th grade or less,1,71,27.2,3121.2,No
1244,Hawaii,HI,West,2019,F,9th through 12th grade,2,1388,26.7,3118.2,No
1245,Hawaii,HI,West,2019,F,High school graduate,3,1420,27,3175.5,No
1246,Hawaii,HI,West,2019,F,Some college credit,4,1636,28.9,3172.4,No
1247,Hawaii,HI,West,2019,F,Associate degree,5,789,31.1,3205.9,No
1248,Hawaii,HI,West,2019,F,Bachelor's degree,6,1804,32.3,3177.9,No
1249,Hawaii,HI,West,2019,F,Master's degree,7,722,34,3171.7,No
1250,Hawaii,HI,West,2019,F,Doctorate,8,111,34.8,3218,No
1251,Hawaii,HI,West,2019,F,Not Stated,9,78,28,3042.4,Yes
1252,Hawaii,HI,West,2019,M,8th grade or less,1,66,28.7,3030.4,Yes
1253,Hawaii,HI,West,2019,M,9th through 12th grade,2,1475,26.9,3185.2,No
1254,Hawaii,HI,West,2019,M,High school graduate,3,1521,26.9,3314.6,No
1255,Hawaii,HI,West,2019,M,Some college credit,4,1882,28.8,3281,No
1256,Hawaii,HI,West,2019,M,Associate degree,5,892,30.7,3244.6,No
1257,Hawaii,HI,West,2019,M,Bachelor's degree,6,1999,32.2,3276.7,No
1258,Hawaii,HI,West,2019,M,Master's degree,7,733,34.2,3302.7,No
1259,Hawaii,HI,West,2019,M,Doctorate,8,135,35,3447.8,No
1260,Hawaii,HI,West,2019,M,Not Stated,9,75,28.5,3234.2,No
1261,Hawaii,HI,West,2020,F,8th grade or less,1,54,30.4,3166.3,No
1262,Hawaii,HI,West,2020,F,9th through 12th grade,2,1276,27.2,3111.1,No
1263,Hawaii,HI,West,2020,F,High school graduate,3,1364,26.8,3220.8,No
1264,Hawaii,HI,West,2020,F,Some college credit,4,1485,28.8,3184,No
1265,Hawaii,HI,West,2020,F,Associate degree,5,770,30.8,3176,No
1266,Hawaii,HI,West,2020,F,Bachelor's degree,6,1814,32.1,3188.6,No
1267,Hawaii,HI,West,2020,F,Master's degree,7,657,34.2,3202.2,No
1268,Hawaii,HI,West,2020,F,Doctorate,8,120,35,3244.1,No
1269,Hawaii,HI,West,2020,F,Not Stated,9,129,30.3,3194.2,No
1270,Hawaii,HI,West,2020,M,8th grade or less,1,62,27.1,3130.4,No
1271,Hawaii,HI,West,2020,M,9th through 12th grade,2,1259,27.3,3229.9,No
1272,Hawaii,HI,West,2020,M,High school graduate,3,1433,26.9,3295.8,No
1273,Hawaii,HI,West,2020,M,Some college credit,4,1640,28.8,3288.4,No
1274,Hawaii,HI,West,2020,M,Associate degree,5,852,30.6,3293,No
1275,Hawaii,HI,West,2020,M,Bachelor's degree,6,1884,32.1,3276.8,No
1276,Hawaii,HI,West,2020,M,Master's degree,7,731,34.1,3298.7,No
1277,Hawaii,HI,West,2020,M,Doctorate,8,125,34.5,3309.4,No
1278,Hawaii,HI,West,2020,M,Not Stated,9,130,29.3,3156.2,No
1279,Hawaii,HI,West,2021,F,8th grade or less,1,40,29.4,3248.7,No
1280,Hawaii,HI,West,2021,F,9th through 12th grade,2,1117,27,3124.4,No
1281,Hawaii,HI,West,2021,F,High school graduate,3,1290,27,3203.2,No
1282,Hawaii,HI,West,2021,F,Some college credit,4,1454,29.4,3196.5,No
1283,Hawaii,HI,West,2021,F,Associate degree,5,780,31,3171.3,No
1284,Hawaii,HI,West,2021,F,Bachelor's degree,6,1825,32.2,3171.5,No
1285,Hawaii,HI,West,2021,F,Master's degree,7,726,34.3,3178.6,No
1286,Hawaii,HI,West,2021,F,Doctorate,8,139,34.6,3219.3,No
1287,Hawaii,HI,West,2021,F,Not Stated,9,141,29.8,2970,Yes
1288,Hawaii,HI,West,2021,M,8th grade or less,1,62,29.4,3221,No
1289,Hawaii,HI,West,2021,M,9th through 12th grade,2,1237,27.3,3185,No
1290,Hawaii,HI,West,2021,M,High school graduate,3,1429,27.1,3312.5,No
1291,Hawaii,HI,West,2021,M,Some college credit,4,1546,29.4,3284.1,No
1292,Hawaii,HI,West,2021,M,Associate degree,5,800,31.1,3251,No
1293,Hawaii,HI,West,2021,M,Bachelor's degree,6,1919,32.2,3294.1,No
1294,Hawaii,HI,West,2021,M,Master's degree,7,797,34.2,3293.6,No
1295,Hawaii,HI,West,2021,M,Doctorate,8,157,34.5,3291.4,No
1296,Hawaii,HI,West,2021,M,Not Stated,9,161,30.5,3204.1,No
1297,Idaho,ID,West,2016,F,8th grade or less,1,258,30.9,3265.3,No
1298,Idaho,ID,West,2016,F,9th through 12th grade,2,948,24.2,3119.6,No
1299,Idaho,ID,West,2016,F,High school graduate,3,2817,26,3199.4,No
1300,Idaho,ID,West,2016,F,Some college credit,4,2825,27.4,3260.5,No
1301,Idaho,ID,West,2016,F,Associate degree,5,1131,29.1,3294,No
1302,Idaho,ID,West,2016,F,Bachelor's degree,6,2318,30,3321.5,No
1303,Idaho,ID,West,2016,F,Master's degree,7,504,32.5,3272.1,No
1304,Idaho,ID,West,2016,F,Doctorate,8,145,33.3,3356.1,No
1305,Idaho,ID,West,2016,F,Not Stated,9,53,30.4,3165.3,No
1306,Idaho,ID,West,2016,M,8th grade or less,1,281,30.2,3256.5,No
1307,Idaho,ID,West,2016,M,9th through 12th grade,2,1015,24.1,3238.8,No
1308,Idaho,ID,West,2016,M,High school graduate,3,2966,25.9,3299.7,No
1309,Idaho,ID,West,2016,M,Some college credit,4,2936,27.3,3364.9,No
1310,Idaho,ID,West,2016,M,Associate degree,5,1190,29.2,3359.6,No
1311,Idaho,ID,West,2016,M,Bachelor's degree,6,2359,30.3,3455.8,No
1312,Idaho,ID,West,2016,M,Master's degree,7,532,32.7,3382.1,No
1313,Idaho,ID,West,2016,M,Doctorate,8,148,33.3,3347.9,No
1314,Idaho,ID,West,2016,M,Not Stated,9,56,28.5,3238.4,No
1315,Idaho,ID,West,2017,F,8th grade or less,1,223,30.3,3240.2,No
1316,Idaho,ID,West,2017,F,9th through 12th grade,2,971,24.7,3129.2,No
1317,Idaho,ID,West,2017,F,High school graduate,3,2817,26,3208.9,No
1318,Idaho,ID,West,2017,F,Some college credit,4,2760,27.6,3258.7,No
1319,Idaho,ID,West,2017,F,Associate degree,5,1117,29,3299.7,No
1320,Idaho,ID,West,2017,F,Bachelor's degree,6,2293,30.4,3325.4,No
1321,Idaho,ID,West,2017,F,Master's degree,7,498,32.5,3269.1,No
1322,Idaho,ID,West,2017,F,Doctorate,8,132,33.9,3236.7,No
1323,Idaho,ID,West,2017,F,Not Stated,9,47,29.4,2966.8,Yes
1324,Idaho,ID,West,2017,M,8th grade or less,1,240,30.2,3269.8,No
1325,Idaho,ID,West,2017,M,9th through 12th grade,2,975,24,3252.9,No
1326,Idaho,ID,West,2017,M,High school graduate,3,2764,25.9,3317.6,No
1327,Idaho,ID,West,2017,M,Some college credit,4,2989,27.7,3355.1,No
1328,Idaho,ID,West,2017,M,Associate degree,5,1169,28.9,3353.8,No
1329,Idaho,ID,West,2017,M,Bachelor's degree,6,2376,30.1,3433.7,No
1330,Idaho,ID,West,2017,M,Master's degree,7,552,32.7,3422.3,No
1331,Idaho,ID,West,2017,M,Doctorate,8,186,33.2,3421.8,No
1332,Idaho,ID,West,2017,M,Not Stated,9,72,26.8,3374,No
1333,Idaho,ID,West,2018,F,8th grade or less,1,196,30.4,3150.8,No
1334,Idaho,ID,West,2018,F,9th through 12th grade,2,875,24.6,3147.9,No
1335,Idaho,ID,West,2018,F,High school graduate,3,2678,26.2,3195.8,No
1336,Idaho,ID,West,2018,F,Some college credit,4,2735,27.7,3227.3,No
1337,Idaho,ID,West,2018,F,Associate degree,5,1021,29.3,3278.5,No
1338,Idaho,ID,West,2018,F,Bachelor's degree,6,2220,30.2,3268,No
1339,Idaho,ID,West,2018,F,Master's degree,7,525,32.7,3274.7,No
1340,Idaho,ID,West,2018,F,Doctorate,8,136,33.3,3217.1,No
1341,Idaho,ID,West,2018,F,Not Stated,9,49,29.4,3247.2,No
1342,Idaho,ID,West,2018,M,8th grade or less,1,218,30.5,3316,No
1343,Idaho,ID,West,2018,M,9th through 12th grade,2,926,24.4,3200.6,No
1344,Idaho,ID,West,2018,M,High school graduate,3,2752,26,3306,No
1345,Idaho,ID,West,2018,M,Some college credit,4,2741,27.7,3350.6,No
1346,Idaho,ID,West,2018,M,Associate degree,5,1127,29.1,3378.8,No
1347,Idaho,ID,West,2018,M,Bachelor's degree,6,2453,30.1,3422.7,No
1348,Idaho,ID,West,2018,M,Master's degree,7,534,32.8,3381.7,No
1349,Idaho,ID,West,2018,M,Doctorate,8,164,33.4,3344.1,No
1350,Idaho,ID,West,2018,M,Not Stated,9,53,29,3430.8,No
1351,Idaho,ID,West,2019,F,8th grade or less,1,230,29.8,3187,No
1352,Idaho,ID,West,2019,F,9th through 12th grade,2,880,24.5,3091.9,Yes
1353,Idaho,ID,West,2019,F,High school graduate,3,2678,26.4,3200.9,No
1354,Idaho,ID,West,2019,F,Some college credit,4,2756,27.9,3241.9,No
1355,Idaho,ID,West,2019,F,Associate degree,5,1074,29.2,3233.4,No
1356,Idaho,ID,West,2019,F,Bachelor's degree,6,2385,30.3,3293.6,No
1357,Idaho,ID,West,2019,F,Master's degree,7,579,32.8,3255.7,No
1358,Idaho,ID,West,2019,F,Doctorate,8,161,33.3,3258,No
1359,Idaho,ID,West,2019,F,Not Stated,9,51,29.2,3275.5,No
1360,Idaho,ID,West,2019,M,8th grade or less,1,219,31.6,3319.5,No
1361,Idaho,ID,West,2019,M,9th through 12th grade,2,924,24.6,3232.2,No
1362,Idaho,ID,West,2019,M,High school graduate,3,2825,26.2,3315.9,No
1363,Idaho,ID,West,2019,M,Some college credit,4,2806,27.8,3362.8,No
1364,Idaho,ID,West,2019,M,Associate degree,5,1185,29.3,3373.9,No
1365,Idaho,ID,West,2019,M,Bachelor's degree,6,2506,30.4,3410.6,No
1366,Idaho,ID,West,2019,M,Master's degree,7,581,32.8,3426.4,No
1367,Idaho,ID,West,2019,M,Doctorate,8,147,33.6,3395.8,No
1368,Idaho,ID,West,2019,M,Not Stated,9,76,27.6,3194.6,No
1369,Idaho,ID,West,2020,F,8th grade or less,1,191,29.7,3142.3,No
1370,Idaho,ID,West,2020,F,9th through 12th grade,2,887,24.4,3123.8,No
1371,Idaho,ID,West,2020,F,High school graduate,3,2594,26.3,3196.6,No
1372,Idaho,ID,West,2020,F,Some college credit,4,2608,27.8,3242.3,No
1373,Idaho,ID,West,2020,F,Associate degree,5,1076,29.3,3273.8,No
1374,Idaho,ID,West,2020,F,Bachelor's degree,6,2341,30.5,3301.6,No
1375,Idaho,ID,West,2020,F,Master's degree,7,510,32.5,3253.6,No
1376,Idaho,ID,West,2020,F,Doctorate,8,144,33.8,3337.2,No
1377,Idaho,ID,West,2020,F,Not Stated,9,62,29,3052.9,Yes
1378,Idaho,ID,West,2020,M,8th grade or less,1,202,30.5,3336.6,No
1379,Idaho,ID,West,2020,M,9th through 12th grade,2,867,24.5,3223.5,No
1380,Idaho,ID,West,2020,M,High school graduate,3,2801,26.4,3305,No
1381,Idaho,ID,West,2020,M,Some college credit,4,2630,27.9,3346.1,No
1382,Idaho,ID,West,2020,M,Associate degree,5,1131,29.5,3388,No
1383,Idaho,ID,West,2020,M,Bachelor's degree,6,2643,30.4,3418.1,No
1384,Idaho,ID,West,2020,M,Master's degree,7,602,32.5,3404.1,No
1385,Idaho,ID,West,2020,M,Doctorate,8,171,33.5,3310.2,No
1386,Idaho,ID,West,2020,M,Not Stated,9,73,29,3065.9,Yes
1387,Idaho,ID,West,2021,F,8th grade or less,1,182,31.2,3205.3,No
1388,Idaho,ID,West,2021,F,9th through 12th grade,2,787,24.4,3144.5,No
1389,Idaho,ID,West,2021,F,High school graduate,3,2635,26.5,3202.8,No
1390,Idaho,ID,West,2021,F,Some college credit,4,2599,28.2,3237.1,No
1391,Idaho,ID,West,2021,F,Associate degree,5,1135,29.4,3266.3,No
1392,Idaho,ID,West,2021,F,Bachelor's degree,6,2604,30.4,3295,No
1393,Idaho,ID,West,2021,F,Master's degree,7,651,32.7,3237.8,No
1394,Idaho,ID,West,2021,F,Doctorate,8,171,33.7,3201.8,No
1395,Idaho,ID,West,2021,F,Not Stated,9,96,29.6,3192.4,No
1396,Idaho,ID,West,2021,M,8th grade or less,1,217,30.6,3265,No
1397,Idaho,ID,West,2021,M,9th through 12th grade,2,843,24.9,3239,No
1398,Idaho,ID,West,2021,M,High school graduate,3,2808,26.5,3308.3,No
1399,Idaho,ID,West,2021,M,Some college credit,4,2837,28,3364,No
1400,Idaho,ID,West,2021,M,Associate degree,5,1148,29.2,3379.5,No
1401,Idaho,ID,West,2021,M,Bachelor's degree,6,2741,30.2,3420.7,No
1402,Idaho,ID,West,2021,M,Master's degree,7,655,32.7,3394.6,No
1403,Idaho,ID,West,2021,M,Doctorate,8,210,33.9,3314.4,No
1404,Idaho,ID,West,2021,M,Not Stated,9,108,29.6,3335.2,No
1405,Illinois,IL,Midwest,2016,F,8th grade or less,1,1993,30.8,3227.9,No
1406,Illinois,IL,Midwest,2016,F,9th through 12th grade,2,6838,25,3099,Yes
1407,Illinois,IL,Midwest,2016,F,High school graduate,3,16088,26.5,3149,No
1408,Illinois,IL,Midwest,2016,F,Some college credit,4,14965,27.7,3189.6,No
1409,Illinois,IL,Midwest,2016,F,Associate degree,5,5905,29.9,3245.6,No
1410,Illinois,IL,Midwest,2016,F,Bachelor's degree,6,16760,31.5,3277.1,No
1411,Illinois,IL,Midwest,2016,F,Master's degree,7,9196,32.9,3276.1,No
1412,Illinois,IL,Midwest,2016,F,Doctorate,8,2268,33.8,3234.5,No
1413,Illinois,IL,Midwest,2016,F,Not Stated,9,1496,29.9,3137.9,No
1414,Illinois,IL,Midwest,2016,M,8th grade or less,1,2001,30.4,3302.8,No
1415,Illinois,IL,Midwest,2016,M,9th through 12th grade,2,7032,24.9,3191.6,No
1416,Illinois,IL,Midwest,2016,M,High school graduate,3,16837,26.6,3260,No
1417,Illinois,IL,Midwest,2016,M,Some college credit,4,15492,27.6,3302.5,No
1418,Illinois,IL,Midwest,2016,M,Associate degree,5,6337,29.8,3369.2,No
1419,Illinois,IL,Midwest,2016,M,Bachelor's degree,6,17644,31.5,3396.8,No
1420,Illinois,IL,Midwest,2016,M,Master's degree,7,9642,33,3394,No
1421,Illinois,IL,Midwest,2016,M,Doctorate,8,2377,33.6,3352.6,No
1422,Illinois,IL,Midwest,2016,M,Not Stated,9,1574,29.9,3253.1,No
1423,Illinois,IL,Midwest,2017,F,8th grade or less,1,1716,30.8,3215.9,No
1424,Illinois,IL,Midwest,2017,F,9th through 12th grade,2,6314,25.1,3114.3,No
1425,Illinois,IL,Midwest,2017,F,High school graduate,3,16117,26.5,3142.9,No
1426,Illinois,IL,Midwest,2017,F,Some college credit,4,14207,27.9,3192.3,No
1427,Illinois,IL,Midwest,2017,F,Associate degree,5,5675,30,3245.1,No
1428,Illinois,IL,Midwest,2017,F,Bachelor's degree,6,16395,31.7,3278.5,No
1429,Illinois,IL,Midwest,2017,F,Master's degree,7,8876,33,3278.9,No
1430,Illinois,IL,Midwest,2017,F,Doctorate,8,2224,33.8,3228.4,No
1431,Illinois,IL,Midwest,2017,F,Not Stated,9,1572,30,3135.5,No
1432,Illinois,IL,Midwest,2017,M,8th grade or less,1,1780,30.7,3319,No
1433,Illinois,IL,Midwest,2017,M,9th through 12th grade,2,6530,25.2,3200.4,No
1434,Illinois,IL,Midwest,2017,M,High school graduate,3,16573,26.6,3249.4,No
1435,Illinois,IL,Midwest,2017,M,Some college credit,4,15089,27.8,3300.5,No
1436,Illinois,IL,Midwest,2017,M,Associate degree,5,6036,29.9,3341,No
1437,Illinois,IL,Midwest,2017,M,Bachelor's degree,6,17149,31.6,3397.7,No
1438,Illinois,IL,Midwest,2017,M,Master's degree,7,9144,33,3403.1,No
1439,Illinois,IL,Midwest,2017,M,Doctorate,8,2315,33.8,3345.7,No
1440,Illinois,IL,Midwest,2017,M,Not Stated,9,1678,30.1,3213,No
1441,Illinois,IL,Midwest,2018,F,8th grade or less,1,1504,30.7,3201.4,No
1442,Illinois,IL,Midwest,2018,F,9th through 12th grade,2,5876,25.4,3085.7,Yes
1443,Illinois,IL,Midwest,2018,F,High school graduate,3,16154,26.8,3148.6,No
1444,Illinois,IL,Midwest,2018,F,Some college credit,4,13555,28.1,3172.6,No
1445,Illinois,IL,Midwest,2018,F,Associate degree,5,5613,30,3239.5,No
1446,Illinois,IL,Midwest,2018,F,Bachelor's degree,6,16055,31.8,3276.9,No
1447,Illinois,IL,Midwest,2018,F,Master's degree,7,8668,33.2,3270.7,No
1448,Illinois,IL,Midwest,2018,F,Doctorate,8,2226,34,3219.1,No
1449,Illinois,IL,Midwest,2018,F,Not Stated,9,1044,30.4,3131.8,No
1450,Illinois,IL,Midwest,2018,M,8th grade or less,1,1658,30.6,3308.8,No
1451,Illinois,IL,Midwest,2018,M,9th through 12th grade,2,5863,25.3,3188,No
1452,Illinois,IL,Midwest,2018,M,High school graduate,3,16799,26.7,3248.4,No
1453,Illinois,IL,Midwest,2018,M,Some college credit,4,14114,28.1,3291.4,No
1454,Illinois,IL,Midwest,2018,M,Associate degree,5,5934,30.1,3349.9,No
1455,Illinois,IL,Midwest,2018,M,Bachelor's degree,6,17003,31.7,3388.1,No
1456,Illinois,IL,Midwest,2018,M,Master's degree,7,9191,33.1,3402.7,No
1457,Illinois,IL,Midwest,2018,M,Doctorate,8,2362,33.9,3342.2,No
1458,Illinois,IL,Midwest,2018,M,Not Stated,9,1196,30.4,3242.7,No
1459,Illinois,IL,Midwest,2019,F,8th grade or less,1,1398,30.9,3199.2,No
1460,Illinois,IL,Midwest,2019,F,9th through 12th grade,2,5115,25.3,3091.6,Yes
1461,Illinois,IL,Midwest,2019,F,High school graduate,3,15777,26.8,3132.8,No
1462,Illinois,IL,Midwest,2019,F,Some college credit,4,13097,28.3,3173.7,No
1463,Illinois,IL,Midwest,2019,F,Associate degree,5,5446,30,3213.7,No
1464,Illinois,IL,Midwest,2019,F,Bachelor's degree,6,15803,31.8,3262.2,No
1465,Illinois,IL,Midwest,2019,F,Master's degree,7,8630,33.3,3249.4,No
1466,Illinois,IL,Midwest,2019,F,Doctorate,8,2208,34.1,3244.7,No
1467,Illinois,IL,Midwest,2019,F,Not Stated,9,866,30.7,3165.2,No
1468,Illinois,IL,Midwest,2019,M,8th grade or less,1,1472,30.6,3327.3,No
1469,Illinois,IL,Midwest,2019,M,9th through 12th grade,2,5338,25.5,3198.6,No
1470,Illinois,IL,Midwest,2019,M,High school graduate,3,16644,26.8,3244.5,No
1471,Illinois,IL,Midwest,2019,M,Some college credit,4,13655,28.3,3286.6,No
1472,Illinois,IL,Midwest,2019,M,Associate degree,5,5761,30.2,3352.2,No
1473,Illinois,IL,Midwest,2019,M,Bachelor's degree,6,16523,31.9,3393,No
1474,Illinois,IL,Midwest,2019,M,Master's degree,7,9116,33.2,3378.1,No
1475,Illinois,IL,Midwest,2019,M,Doctorate,8,2359,33.9,3376.4,No
1476,Illinois,IL,Midwest,2019,M,Not Stated,9,920,30.8,3253.4,No
1477,Illinois,IL,Midwest,2020,F,8th grade or less,1,1280,31.2,3192.1,No
1478,Illinois,IL,Midwest,2020,F,9th through 12th grade,2,4804,25.4,3073.6,Yes
1479,Illinois,IL,Midwest,2020,F,High school graduate,3,15276,26.9,3137.9,No
1480,Illinois,IL,Midwest,2020,F,Some college credit,4,12140,28.5,3173.3,No
1481,Illinois,IL,Midwest,2020,F,Associate degree,5,5221,30.1,3216.1,No
1482,Illinois,IL,Midwest,2020,F,Bachelor's degree,6,15182,31.9,3270.9,No
1483,Illinois,IL,Midwest,2020,F,Master's degree,7,8204,33.3,3264.7,No
1484,Illinois,IL,Midwest,2020,F,Doctorate,8,2140,34,3225.9,No
1485,Illinois,IL,Midwest,2020,F,Not Stated,9,868,30.7,3133.1,No
1486,Illinois,IL,Midwest,2020,M,8th grade or less,1,1343,31,3309.5,No
1487,Illinois,IL,Midwest,2020,M,9th through 12th grade,2,5010,25.3,3176.4,No
1488,Illinois,IL,Midwest,2020,M,High school graduate,3,15673,26.8,3238.6,No
1489,Illinois,IL,Midwest,2020,M,Some college credit,4,12826,28.5,3284.1,No
1490,Illinois,IL,Midwest,2020,M,Associate degree,5,5380,30.2,3331.2,No
1491,Illinois,IL,Midwest,2020,M,Bachelor's degree,6,16101,31.9,3379.2,No
1492,Illinois,IL,Midwest,2020,M,Master's degree,7,8712,33.3,3391.6,No
